,Equivocada,Frecuencia,Sugerencia,Candidatas
0,ustedes,32,usted,usted
1,comercial,2,comerciar,"comerciar, comerical"
2,offer,1,oler,"oler, orfre, afer, fer, fuer"
3,ultumo,1,último,"ulmo, ulluco, tumo, último, totumo"
4,cremas,1,crema,crema
5,lugares,2,lugar,"lugre, lugareña, lugar, longares, lugarejo, lugareño, lugarete"
6,corre,1,corte,"torre, corbe, correr, correo, corro, correa, horre, cobre, corra, cofre, corte"
7,tranqui,1,tranquil,tranquil
8,agujas,1,aguja,"aguja, agujar, agujal"
9,retomar,1,retocar,"retocar, retamar, retobar, retozar, retoñar"
10,porfavor,1,portador,"portavoz, porfiador, portador"
11,seguidas,1,seguida,seguida
12,infecion,1,infección,"inferior, infecir, infición, infecto, infección"
13,tienen,13,tener,"tizne, tioneo, tienta, tener, tiznón, tiento"
14,mantengo,1,mantener,"matungo, manteo, maniego, mantener, marengo, mantelo, mantero"
15,distintos,1,distinto,distinto
16,diabéticos,5,diabético,diabético
17,deceaba,1,decena,decena
18,superado,1,superano,superano
19,laucoma,1,sarcoma,"sarcoma, laucha, carcoma"
20,equivocaron,2,equivocar,equivocar
21,flia,1,fila,"fila, filia"
22,contactarme,1,,
23,hechos,1,hecho,"hecho, hechor"
24,iva,2,viva,"viva, ira, ava, uva, ida, diva, ova, iza, ita"
25,fuy,1,muy,"muy, ful, yuy, fu, huy, cuy"
26,midan,1,mida,mida
27,pedirme,2,pedir,pedir
28,bajarla,1,batalla,"bataola, batalla, bajar, bajura, bajuela, bajera, bajada"
29,controles,19,,
30,ice,1,vice,"vice, ce, fice"
31,xel,1,el,"sel, el, bel, del, pel"
32,gym,1,y,"aya, dom, gao, gis, my, pum, gro, ohm, goma, gema, ayo, gil, yo, gol, hum, gas, ya, ge, gea, gen, gaya, gama, aymé, gua, ny, ay, ye, com, gamo, y, gayo"
33,pueden,20,,
34,muerso,1,muerto,"muergo, muerto, muerdo, muermo, mueso"
35,elejirme,1,,
36,pautas,1,patas,"pautar, pauta, patas"
37,solía,1,sola,"folía, solla, solfa, sola"
38,ayudan,1,ayuda,"ayudar, ayuda"
39,envíala,2,enviada,enviada
40,ago,19,algo,"agro, gao, agá, vago, gago, avo, año, argo, ajo, aro, ayo, asgo, sago, lago, aho, bago, algo, pago, ano, agio, mago, amo"
41,manejamos,1,manejado,manejado
42,bebidas,1,bebida,bebida
43,ppara,1,para,"piara, pápara, para"
44,precion,2,precio,precio
45,fide,1,fideo,"vide, fice, fido, fida, fideo"
46,entregando,3,entregado,entregado
47,trbjo,1,trabajo,"tibio, terbio, turbio, traro, traje, arijo, tajo, treja, tebeo, rojo, troj, trozo, tojo, troje, tirajo, trapo, trío, tejo, erbio, brujo, truja, trabajo, trigo, treno, trono, tramo, treo, trago, truco, rejo, tubo, troja, trebejo, troco, rijo, trebo, orujo, travo, grojo, trazo, tabo, tropo, grajo, trato, trino"
48,responderemos,18,,
49,preocupa,2,preocupar,preocupar
50,espero,6,espera,"estero, espejo, áspero, espeso, empero, espeto, espera, esmero, esporo, espedo"
51,depende,1,depender,"desende, depender"
52,cancelelo,1,carcelero,"cancellero, canceller, candelero, canelero, concello, carcelero"
53,podologia,1,pomología,"posología, pomología"
54,precios,1,precio,"precioso, precio, preciosa, preciso"
55,mareos,1,mareo,"mareo, mareoso, mareosa"
56,internet,1,interna,"interna, interno, internar"
57,https,39,,
58,echos,1,hecho,"hechor, estos, techo, caos, eros, esos, chus, chis, echona, pchs, lecho, pecho, hecho, echar, ellos, choz, cho, lechosa, icho, mechosa, lechoso, ocho, fecho, ecuo, fechor, mechoso, eco"
59,nuevos,2,nuevo,nuevo
60,gracoas,1,gracia,"granosa, tracias, grasosa, gradosa, gracia, graciosa, gravosa, gramosa"
61,mandataria,2,mandatario,mandatario
62,transmitian,1,transmisión,"transmisión, transmitir"
63,visite,2,visita,"visita, visiteo"
64,ejena,1,ajena,"ajena, egena"
65,hermanos,1,hermano,hermano
66,diagnosticaron,2,diagnosticar,diagnosticar
67,preocupaciones,1,,
68,recordarme,1,recordar,"recordar, recordable, recordante"
69,n,17,no,"an, no, ne, na, ny, a, e, en, in, un, u, ni, y, o"
70,graccias,1,gracia,"tracias, gracia"
71,onformacion,1,información,"conformación, información"
72,perdiendo,2,perdido,"perdido, pereciendo"
73,hize,1,he,"cipe, vide, pije, hijo, diez, hija, hin, vice, hoce, iza, hilo, hiper, hiel, diz, ñire, liza, higa, hove, tibe, hila, biza, lite, himen, hupe, he, chile, mizo, hito, sine, tizne, hipo, fice, rizo, chiza, hi, haz, chite, haza, hae, dije, hita, tizo, hez, home, riza, tiza, lizo, miz, pie, ñipe, hoz, aire, higo, hule, cine, miza"
74,operado,1,operador,"aperado, operador"
75,pami,9,ami,"ami, pali"
76,sacaron,1,sacar,"sacarino, nacarón, sacar, sacador, sacarosa, sacayán, sacro, sacarina"
77,nolose,1,coloso,"moloso, doloso, dolosa, golosa, molosa, colote, goloso, noblote, coloso, novoso, glose"
78,enteré,1,entero,"entera, entero"
79,familiares,2,familiar,familiar
80,mombre,1,hombre,"mimbre, hombre, nombre"
81,sintiendo,1,,
82,puse,2,pues,"pase, pus, pues"
83,entiendo,1,entierro,"entrenudo, entenado, encienso, enmienda, entierro"
84,dejenme,1,detente,"demente, decente, detente, desende"
85,ospital,2,hospital,hospital
86,comunicarte,58,comunicante,comunicante
87,nesito,1,esto,"pasito, neto, perito, nito, cerito, cesio, resto, jeito, mesto, nerita, esto, negrito, necio, sito, besico, espito, nolito, gesto, desiño, melito, pósito, nescio, cesto, lesivo, delito, nieto, neófito, desto, ínsito, benito, lesoto"
88,wa,3,a,"ya, la, ña, na, a, ha, ea, ca, za, ta, wat, ka, fa"
89,quería,9,quera,"quera, querva"
90,att,1,ata,ata
91,tengas,1,tenia,"tentar, tenis, termas, tonga, tena, tenia, vengar, tengue, renga, tanga, tensa, tenua, sendas, tenaz, sergas, leneas, tensar, rengar, tenca, menga, tendal"
92,medicamanto,1,medicamento,medicamento
93,saliendo,2,salido,"aliento, saliente, sabiondo, alienado, salinero, salido, galindo, salcedo, aliende, salino"
94,tomarlo,1,tomar,"tímalo, tomado, tomillo, tamarao, tomar, tonario, somarro"
95,compartido,1,compartidor,compartidor
96,atras,2,atrás,"atrás, arras, tras, atlas, atraso"
97,siendo,2,miedo,"liento, siervo, indo, pinedo, sendos, vendo, siena, hienda, lindo, sien, zendo, sierro, bienio, simado, tiento, asiento, ciento, bieldo, sino, senda, duendo, senado, lienzo, seudo, sueno, signo, rienda, miedo, cieno, sirenio, pienso, sueldo, seno, viento, sieso"
98,vienen,1,viento,"viernes, vienense, virgen, veneno, vienés, viejez, vienesa, viento"
99,éste,1,este,"este, éster, oste, uste"
100,hacérmelo,2,,
101,diabetólogo,1,dialectólogo,dialectólogo
102,grasiss,2,gratis,"grasosa, gratis, frasis, grasoso"
103,pedidos,2,pedido,"pedido, pedidor"
104,commerce,2,,
105,buenisimo,7,,
106,comparten,1,comparte,comparte
107,farmacias,1,farmacia,farmacia
108,juves,1,jueves,jueves
109,cm,3,com,"cu, ce, co, com, ca"
110,tomaba,1,tomada,"tomaza, tomada"
111,migo,2,amigo,"mio, mico, mino, mego, mingo, figo, mito, mago, mogo, higo, amigo, meigo, mimo, mijo, milo, mizo, miga"
112,costos,1,costo,"cosmos, costosa, costo, costoso"
113,dayer,3,ayer,ayer
114,cuidó,2,cuida,"cuido, cuida"
115,ayudó,1,ayuda,ayuda
116,ficica,1,oficina,"ficta, dioica, cica, fiucia, bicoca, fucia, risica, ficticia, oficina, fúlica, cicca, cacica, ficha, fálica, fónica, facina, finita, cibica, vicia, facia, finca, licia, filia, física"
117,tomó,4,toma,"toma, tomé, tomo, tome, tomón"
118,kieren,1,cierne,cierne
119,seres,1,ceres,ceres
120,aparatito,1,aparato,"aparatero, apurativo, aparatoso, apartijo, aparato"
121,salidas,1,salida,salida
122,informando,2,informante,"informante, informador, normando"
123,hace,83,hacer,"hache, hacer, hoce, haca, hae"
124,niños,1,niño,"niño, nipos"
125,noticias,1,noticia,"noticiar, noticia"
126,metformina,7,,
127,mayoria,1,mayoría,"mayoría, mayora"
128,info,11,ninfo,"indo, ninfo"
129,controlarme,4,,
130,egersicio,1,ejercicio,ejercicio
131,er,3,el,"ver, ero, es, ere, re, ir, erg, el, eh, era, et, e, en, ea, fer, per, ser, her"
132,quicardia,1,taquicardia,taquicardia
133,cesac,1,cesar,cesar
134,según,1,segün,segün
135,discúlpame,1,,
136,celu,2,celo,"celo, cele, cela"
137,rivadavia,2,,
138,ed,1,de,"red, es, el, eh, et, e, en, ea, ad, sed, de"
139,comtrolados,1,,
140,agremen,1,agremán,agremán
141,oki,2,ori,ori
142,charlas,2,charla,"charla, charlar, charcas"
143,solos,1,solo,solo
144,realizando,1,,
145,xk,3,xi,xi
146,sabían,1,sabia,"satín, sabina, sahína, sapan, saín, sabea, sabia, sajía, salín, sablón, sabana"
147,w,15,a,"a, e, u, y, o"
148,raimundo_,1,,
149,entregan,12,entrega,"entregar, entrega"
150,catidad,1,cantidad,"calidad, cantidad, caridad, cavidad, castidad"
151,indicado,1,indicador,"indijado, indiciado, sindicado, indicador"
152,alérgica,1,alergia,"enérgica, américa, alergia"
153,exelente,1,excelente,"excelente, expelente"
154,hijos,2,hijo,hijo
155,tramites,2,trámite,"tramitar, traite, trámite"
156,postres,1,postre,"postrer, postre"
157,queridas,1,querida,querida
158,cic,1,tic,"tic, cinc, cica, cid, cis, cric, sic"
159,dará,2,dar,"dacá, dar"
160,recetas,6,receta,"recetar, receta"
161,ves,16,es,"res, ver, ve, es, bes, vez, des, vos, mes, ses, les, vis"
162,sirven,4,virgen,"sirle, sirena, sien, virgen, sirte"
163,ymmymta,1,,
164,mesirme,1,desarme,"musirse, desarme"
165,nefrología,1,neurología,"necrología, neurología"
166,anteriores,1,anterior,anterior
167,doc,3,dos,"doca, don, oc, dom, doy, doce, duc, dos, do"
168,hasen,1,hacer,"hamez, diasen, hayena, nasón, harén, harón, harem, habón, paseo, base, casón, himen, gasón, halón, hacán, hasaní, masón, rasel, hasta, aseo, lasún, pase, hae, baden, hacer, sen, haber, fase, asín, hayeno"
169,mecontrolo,1,,
170,bendecida,1,bendecir,"bendecidor, bendecir, bendecidora"
171,estudios,7,estudio,"estudio, estudiosa, estudioso"
172,cintas,6,cinta,"cintar, cinta"
173,vere,1,ver,"vera, ver, verde, ere, veer, vero, mere, verme"
174,salita,35,salida,"sólita, saliva, salina, salia, saleta, salida, sagita, balita"
175,dan,35,tan,"pan, kan, an, don, din, man, tan, can, san, dar"
176,sabías,1,sabia,"tobías, sabea, sabia, sajía, garbías"
177,saluda,2,salida,"salada, salida, salud, sañuda, saludo, aluda, saludar"
178,biene,1,bien,bien
179,pendientes,1,pendiente,pendiente
180,preguto,1,pregunta,"regusto, pregunta, presunto, regato, precito, pregunteo, presto"
181,proteínas,1,proteína,proteína
182,problemas,10,problema,problema
183,estaré,6,estar,estar
184,manu,1,mano,"mana, maná, man, maní, mano"
185,usoa,1,uso,"usía, uso"
186,sabado,1,sabido,"sabido, salado, sábado, sajado, sobado, habado"
187,atendieron,2,,
188,ésto,1,esto,"asto, esto"
189,hs,36,es,"hí, es, as, hi, ha, os, he, hu"
190,complicó,1,cómplice,"complida, complido, complicar, cómplice"
191,déjame,1,pésame,"pésame, dolame, pujame, péname, dagame"
192,incluyes,1,,
193,prepara,1,preparar,preparar
194,oky,19,y,"ojo, ori, lay, opa, ole, oso, oxe, my, hoy, ka, oro, cok, ox, dey, oc, ohm, oda, oh, muy, yo, oto, olé, coy, yuy, ora, o, ovo, doy, cay, bey, osa, oca, os, oír, ley, boy, ny, ola, ay, oíl, ova, huy, rey, y, cuy"
195,nomela,1,novela,novela
196,curó,1,cura,"curú, cura, curí"
197,dio,4,dios,"mio, dij, dis, din, dino, dito, di, divo, odio, dúo, diz, deo, dix, do, dios"
198,computadora,1,compradora,"compradora, competidora, compiladora, confutadora, conmutadora, imputadora, comentadora"
199,diaa,2,diana,"diana, dial, diva, dita, dina"
200,aserme,3,verme,"aserto, ademe, adarme, alerce, inerme, serie, verme"
201,wstot,1,esto,"estos, estol, asto, esto"
202,tenerme,7,tener,"terere, enerve, tener, inerme, tenería, tenesmo, enorme"
203,husar,1,usar,"húsar, tusar, humar, husmar, usar, musar, ahusar"
204,sip,1,si,"sil, si, sic, sin"
205,piernas,4,pierna,pierna
206,interesa,31,interese,"interese, interesar, interesal"
207,veses,2,ese,"jesús, veste, veer, voseo, ceres, velis, esos, veras, mese, ses, vejez, vesta, ese, seseo, esas, eser, venus, tesis, deseo, dese, cese, desús"
208,recibirlos,1656,,
209,ayuden,1,ayuda,"agudez, aludel, ayudar, ayuda, acumen"
210,nomestandado,1,,
211,grácias,5,gracia,"grecia, grácil, gracia, tracias"
212,leones,1,leonesa,"leonesa, leonés"
213,amorcito,1,amorcillo,"mocito, amorcillo, morito"
214,grandes,1,grande,"grandez, grande, grander"
215,aque,1,que,"jaque, ñaque, baque, maque, oque, aquel, taque, saque, aqueo, naque, raque, aquí, laque, aquea, zaque, que"
216,quise,4,quite,"quite, quisa, quiste"
217,bagues,3,bagre,"baque, maguer, bagual, maguey, bagre, baguio"
218,okk,1,o,"ojo, ori, opa, ole, oso, oxe, ka, oro, cok, ox, oc, ohm, oda, oh, olé, ovo, o, ora, osa, oca, os, oír, ola, oíl, ova, oto, yak"
219,públicos,1,público,público
220,prodadia,1,probada,"prosodia, rodadiza, probada, prosapia, rodada, prosada"
221,recomendaciones,1,,
222,encanta,3,encanto,"encante, encanto, encinta, encantar"
223,lluvias,2,lluvia,"lluvial, lluvia"
224,yevo,1,yeso,"yervo, yeco, yero, yebo, evo, yeso"
225,usaba,1,usada,usada
226,cataratas,3,catarata,catarata
227,caminos,1,camino,camino
228,confundieron,1,,
229,𝘚𝘪,1,de,"as, ir, lo, su, oc, eh, yo, za, ni, o, xi, et, u, uf, do, jo, en, me, so, té, sí, ji, le, an, ox, re, te, mu, si, a, oh, ál, di, ta, de, es, tu, ea, ro, ah, ab, no, aj, ña, ha, ye, y, fu, el, tú, ut, ne, bu, be, he, to, fi, ge, la, hi, e, pi, co, ad, bi, pe, hí, se, fo, ca, pu, fe, hu, él, my, ka, fa, in, dí, mí, ya, ti, na, un, os, ve, ñu, ax, cu, ny, ay, ño, ce, al, mi"
230,buenas,162,buena,buena
231,modulo,1,modelo,"modelo, módulo"
232,sangra,1,sangre,"sangrar, sangría, angra, sangre"
233,atencion,2,atención,atención
234,gusta,8,gusto,"gustar, gusto, guata, fusta, guita, justa, gesta"
235,pedoyo,1,pedido,"pedorro, repoyo, peloto, pedido, pedazo, perojo, peloso, pedro, rehoyo, poyo, sedoso, pecoso, verdoyo, pedo, penoso, pedroso"
236,pucieron,1,puchero,puchero
237,balanciada,1,palancada,"palanciana, palancada"
238,sintomas,1,síntoma,síntoma
239,necesita,2,necesitar,necesitar
240,aunq,1,aun,aun
241,yhy,1,yuy,yuy
242,muchísimo,1,,
243,sanan,1,sana,"sanar, sapan, sana"
244,gestoría,1,gestora,gestora
245,cubran,1,cabrón,"cubana, cura, cubano, cabrón, curar, cuan, cuerna, cubera, rubra, cuba, cebra, cubrir, cobrar, cran, cutral, cobra, curra, cabra, cuera"
246,atiende,9,aliende,aliende
247,atendía,1,agenda,"agenda, atendar, atenta, antedía, atonía, atenea, atender, acedía"
248,hábitos,3,hábito,hábito
249,escribieron,1,,
250,reviso,2,revisor,"remiso, revisor, revisto, repiso"
251,tareas,1,tarea,tarea
252,consultarte,1,consultante,consultante
253,articulos,2,artículo,"articular, artículo"
254,xsiempre,1,siempre,siempre
255,confundii,1,confundir,confundir
256,unirte,1,norte,"inerte, unir, tirte, norte, unible, sirte"
257,ginicologa,3,ginecóloga,"ginecología, ginecóloga"
258,vamos,2,amos,amos
259,eztoi,1,esto,"aztor, estol, estos, esto"
260,envíos,2,envío,envío
261,llego,2,luego,"lego, élego, luego, llega, liego, lleno, lleco"
262,colimna,1,colina,"columna, colina"
263,vaja,1,vaya,"vara, vaya, naja, faja, vaca, vasa, aja, maja, raja, vaga, baja, vana, saja, laja, caja, paja, taja"
264,reyes,1,rey,"res, recel, ceres, reis, creces, creyer, rever, revés, rete, buyes, revesa, repeso, rene, redel, reps, reteso, receso, retel, remesa, preces, refez, rey, relej"
265,lejanos,1,lejano,lejano
266,nda,1,nada,"inda, oda, nía, na, ida, nada, nea, nuda, anda, onda"
267,medicamentos,22,medicamento,"medicamentosa, medicamentoso, medicamento"
268,visitas,4,visita,"visitar, visita"
269,quede,1,queda,"quedo, queda"
270,últimos,3,último,último
271,pekemarket,1,,
272,utilizó,1,utilizar,utilizar
273,recetará,1,recetar,recetar
274,empezó,1,empezar,"empeño, empega, empero, empiezo, empezar, empego"
275,atendido,4,tendido,tendido
276,operaron,2,operar,"operario, operar, operaria, operador"
277,tratando,3,tratado,tratado
278,ocupe,5,ocuje,ocuje
279,mp,1,me,"mu, me, mí, mi, my"
280,llevo,10,lleva,"lleva, lleno, alevo, lleco"
281,f,2,a,"fi, a, fo, fe, e, fa, u, uf, y, fu, o"
282,vaje,1,vale,"aje, vafe, vale, viaje, vate, gaje, paje, vade"
283,asistiendo,1,,
284,haré,3,harén,harén
285,prosaria,1,prosapia,prosapia
286,aran,1,gran,"arán, cran, arna, arana, arar, gran, aron, ara"
287,estarias,1,estasis,"asturias, estasis, estarna, escariar, estriar"
288,creas,1,crear,"cresa, cras, crear, crea"
289,stan,1,tan,"sian, san, tan"
290,bajas,1,baja,"banas, bajos, baja, bajar"
291,aller,1,taller,"alier, taller"
292,recetarios,1,recetario,recetario
293,resibirlos,5,,
294,sugerencias,1,sugerencia,sugerencia
295,tdos,1,dos,"idos, dos, tos"
296,bieja,1,vieja,"biela, bija, vieja"
297,avizo,1,aviso,"avizor, aviso"
298,indicaron,3,indicar,"indicar, indicador"
299,muchos,3,mucho,mucho
300,trató,1,trata,"trato, trata"
301,recibí,1,recibo,recibo
302,valdagliptina,1,,
303,cdo,1,do,"cao, cho, ceo, cedo, clo, cado, co, codo, do"
304,okey,61,rey,"ley, dey, copey, oler, bey, grey, ole, oreo, orea, oxe, buey, omeya, abey, rey, ojeo, frey"
305,contarme,1,contar,"contario, conforme, contable, contar, contante"
306,acordarse,1,acordar,"acordar, acorcharse, acocharse, acordante, aforzarse, aporrarse, acarrarse, acocarse, acoclarse, azorrarse, corcarse"
307,atenderte,1,atender,"tendente, tenderete, atender"
308,calzados,1,calzado,"calzado, calzador"
309,vuelva,3,vuelta,"vulva, vuelta"
310,éstos,2,estos,estos
311,detectaron,1,,
312,todavia,6,todavía,todavía
313,debes,1,debe,"deber, debe"
314,km,1,ka,ka
315,oí,2,sí,"hí, ox, oc, oh, oíl, mí, dí, os, oír, sí, o"
316,ricas,1,rica,rica
317,jola,1,hola,"tola, pola, joya, mola, hola, jora, ola, bola, yola, gola, sola, cola, jota, josa"
318,cuartetos,1,cuarteto,cuarteto
319,aprendidos,1,prendido,"aprendedor, prendido"
320,llamen,1,flamen,flamen
321,comidas,8,comida,comida
322,explico,1,explicar,"eólico, expillo, explicar, oxálico, exilio, exótico, exárico, etílico"
323,sea,8,se,"jea, rea, ser, fea, seó, esa, sel, seña, pea, tea, ses, seda, dea, gea, sera, seca, seo, ea, nea, ósea, cea, sega, seta, se, sena, sen, mea, sed"
324,tienrn,1,tierra,"tierna, tierno, tienta, tierra, tiznón, tiento"
325,duelen,2,duelo,"duelo, dele, duela"
326,registrada,1,registrar,"registradora, registrador, registrar"
327,llubias,1,lluvia,"llubina, lluvial, alubia, lluvia, alubiar"
328,equivocado,7,equivocar,"equivocar, equipolado"
329,visitarla,1,visitar,"visitar, visitera"
330,aceptó,1,acepto,"acepto, acepta"
331,recien,2,recién,recién
332,pruebo,1,prueba,prueba
333,hay,33,ha,"hao, cay, lay, haz, ay, ha, haya, hayo, hoy, hae, huy"
334,dejame,2,dejar,"teame, dejar, dejadez, reame, derrame, delate, leñame, debate, dolame, pujame, vejamen, dejada, letame, dejado, desarme, deja, dagame, desate"
335,ofreserme,1,,
336,wscribir,1,escribir,escribir
337,gynñm,1,,
338,go,1,no,"gro, no, gao, jo, ge, fo, ño, co, yo, so, ro, lo, to, gol, do, o"
339,asucar,1,asacar,"asulcar, asacar, asurcar, asumar, asurar"
340,reactivas,6,reactiva,reactiva
341,discapacidad,1,incapacidad,incapacidad
342,dartasu,1,,
343,lupa,1,luna,"lula, pupa, luda, luma, lapa, upa, luna, lupia, dupa, luva, lusa, tupa"
344,diavetologo,1,,
345,sucede,1,suceder,suceder
346,manjon,1,mano,"mangón, mangona, mano, manjúa, mandona, mango, mantona, zanjón, canon, majo, mantón, manjar, mandón, manso, manto, manojo, mando, manco, manejo"
347,amables,4,amable,amable
348,contol,1,contal,contal
349,pide,2,pie,"pije, vide, pie"
350,chocolates,1,chocolate,chocolate
351,darte,1,parte,"farte, dante, arte, marte, parte"
352,xfa,1,fa,fa
353,link,6,lino,lino
354,hare,4,harem,"hae, harem, harre, yare"
355,bajaban,1,bajada,"bajamano, bajamar, banaba, bajada"
356,buenísimo,9,bonísimo,bonísimo
357,empecé,2,empiece,"empecer, empeño, empega, empero, empiece, empego"
358,estoymedicada,1,,
359,anos,1,nos,"ano, amos, nos, anís, anoa"
360,mamente,1,amente,"amente, mamante"
361,especializado,2,especialidad,"especialidad, especializar"
362,realiz,1,regaliz,regaliz
363,huarpes,2,,
364,tenco,1,tenso,"tunco, tenso, cenco, penco, tenuo, tenca, terco, tinco, renco"
365,verás,1,veras,veras
366,oka,11,ola,"oda, opa, ola, osa, ova, oca, ka, ora"
367,cartelito,1,carmelita,"carmelita, canterito, cartelero"
368,tendrás,1,,
369,todas,23,toda,"rodas, toda"
370,maz,1,mal,"faz, maza, mal, man, haz, caz, mas, miz, paz, muz, mar, mazo, taz, maíz, saz"
371,hacerlo,1,hacer,"facero, hatero, macelo, acero, hacerir, macero, hacer, lacero, hachero, lacerto, lacerio, acerolo, haberío, hacera, acerbo, acervo"
372,vici,1,vicio,"vicio, vicia, vice, vico"
373,déjense,1,,
374,belgrano,3,bejarano,"bejarano, bejerano"
375,unidades,2,unidad,unidad
376,reclamé,1,reclamo,"reclame, reclamo"
377,pueda,7,queda,"rueda, queda"
378,recomendando,1,recomendado,recomendado
379,contesten,1,conteste,conteste
380,azucar,11,azúcar,"azuzar, azúcar, azocar, bazucar, azular, azucarí, azumar"
381,unico,1,único,"único, unido"
382,hol,1,hoy,"mol, sol, hola, col, yol, hoz, bol, rol, hoy, gol"
383,empeze,1,empezar,"empate, empeine, ampere, empecer, empeño, empezar, empega, empero, empiezo, empiece, empuje, empego"
384,dulces,6,dulce,dulce
385,ntista,1,lista,"arista, mista, antosta, tiesta, nieta, crista, tita, dantista, rentista, tinta, tiste, vista, anatista, potista, cantista, dentista, testa, lista, artista, pista, batista, quista"
386,quedé,1,queda,"quedo, queda"
387,están,16,esto,"mitán, estos, estar, titán, estío, festón, esto, festín, desmán, ester, patán, atán, desván, destín, islán, cestón, esta, estas, estol, estro, espín, bután, batán, estay, aután, este, estil, fustán, catán, testón, satán"
388,intera,1,entera,"antera, interna, entera, cintera"
389,contestan,1,contestar,"contestano, contestar, contestana"
390,seri,1,ser,"peri, sri, suri, sera, serio, seria, ser, serie, semi"
391,sabemos,1,sabedor,"sabedor, sabeo, sabejo"
392,qué,10,que,"que, mué, qui, bué"
393,simi,1,simio,"simio, simia, sima, semi"
394,aserlos,1,aserto,"aserto, asertor"
395,est,2,es,"lest, esa, es, esta, ese, et, eso, este, esto"
396,lotrial,1,notarial,"lutria, norial, motril, cotral, notarial, potril"
397,call,1,calle,"calla, callo, calé, caló, cali, calle, cala, calo, cal, cale"
398,opciones,2,,
399,medica,3,media,"medicar, media, módica, médica, medida"
400,molestias,1,molestia,molestia
401,corriga,1,corrida,corrida
402,remidios,1,remedio,"semidiosa, remedio, semidiós"
403,envía,1,envío,"envío, encía"
404,medirne,1,mediante,"mediano, medir, mediante, mediana"
405,irmañana,1,mañana,mañana
406,integrantes,2,integrante,integrante
407,á,1,a,"a, e, ál, u, y, o"
408,habitos,1,hábito,"habiloso, habitud, dabitis, hábito, habilosa, habitar"
409,fabrica,1,fábrica,"fabrida, fabricar, fábrica"
410,gimnacio,1,gimnasio,gimnasio
411,saire,1,aire,"sabre, sacre, caire, taire, aire, naire"
412,estre,1,este,"destre, entre, ester, estro, este"
413,nose,4,nos,"nos, tose, nome"
414,dra,4,era,"ira, dría, dura, era, ura, ora, adra, día, dar, dea, ara, dúa"
415,medi,4,medio,"media, medio, meda, medir, medo"
416,sabría,1,cabría,cabría
417,cuándo,3,cuando,cuando
418,udes,1,des,des
419,losartan,1,,
420,ex,1,el,"ox, es, ax, el, eh, et, e, en, ea"
421,profesionales,1,profesional,profesional
422,sé,26,se,"su, se, si, so, té, sí"
423,mantenía,1,mantener,"santería, cantería, mantener, mantona, mantesa, antena, mantera, mancebía, antedía, manteca, montería"
424,kmo,1,amo,amo
425,manejan,1,manejar,manejar
426,medicacion,4,medicación,medicación
427,recibiré,1,recibir,recibir
428,mentable,1,entable,entable
429,resibo,1,recibo,recibo
430,medí,1,medo,"meda, medo"
431,endroquinologo,1,,
432,entregas,1,entrega,"entregar, entrega"
433,siguiendo,1,siguiente,siguiente
434,significa,3,significar,significar
435,quisiera,17,quimera,"quesera, quimera, quijera"
436,agradezco,4,,
437,expmicar,1,explicar,explicar
438,aumentan,1,aumentar,aumentar
439,multas,1,multa,"multar, multa"
440,cuales,6,cual,"culas, chalet, culle, gules, calés, cual, calesa, caler, cuate, cale"
441,semanas,4,semana,"semanal, semana"
442,verguenza,1,vergüenza,vergüenza
