,Equivocada,Frecuencia,Sugerencia,Candidatas
443,dando,3,dado,"dardo, dado, dango, dundo, mando, bando, pando, danto"
444,srta,1,sarta,"seta, surta, sita, sarta, sota, arta, serta"
445,abisen,1,bien,"abesón, bisel, abipón, abusón, abiso, abismo, abigeo, avisón, abisal, bien, abitón"
446,guide,1,guido,"guido, guite"
447,diabetologico,1,,
448,estudiadas,1,estudiador,estudiador
449,momentos,5,momento,momento
450,andaba,1,andada,"andana, andada"
451,estuve,7,este,"estivo, estiva, estuco, estipe, estuque, estuche, estufa, este, estrave, esteva"
452,cn,1,en,"an, cu, can, ce, en, co, ca, in, un, con"
453,sitagliptina,4,,
454,llegando,3,llegado,llegado
455,dió,2,di,"dij, dis, din, di, diz, dix"
456,merezco,1,cerezo,"meteco, cerezo"
457,cariños,1,cariño,"cariñoso, cariño, cariñosa"
458,medios,2,medio,medio
459,hiciron,1,,
460,dígame,1,dagame,dagame
461,desanimada,1,desarmada,"desanimar, desaliñada, desairada, desalmada, desavisada, desatinada, desahumada, desamigada, desarmada"
462,glaucoma,4,glucosa,"glauco, glucosa, glauca"
463,noce,1,noche,"roce, coce, nome, noca, hoce, doce, goce, once, noche"
464,intiendo,2,intento,"incienso, intento, intenso"
465,pid,1,pie,"cid, pie, lid, pi, vid"
466,dieran,1,pierna,"duerna, dineral, tierna, cierna, pierna, diurna, fiera, dietar, miera, hiera, dieta, ditera"
467,entreguen,1,,
468,hra,1,ha,"ira, hura, era, ura, ha, hora, ara, ora"
469,boero,1,borro,"boyero, botero, boro, borro, bolero"
470,bendiciones,37,,
471,lose,1,los,"losa, los, tose, lote, glose"
472,publicas,1,publicar,publicar
473,siente,1,miente,"riente, diente, ciente, silente, miente"
474,sintas,1,cinta,"pinzas, sonta, sintaxis, vinta, sita, cintar, pintar, tinta, singa, sentar, sendas, singar, santa, cinta, pinta, finta, tintar"
475,glucosas,1,glucosa,glucosa
476,tedan,1,teda,teda
477,molesten,1,molesta,"molestia, molesto, molestar, molesta"
478,refieren,1,refierta,refierta
479,aso,1,eso,"caso, as, oso, asno, eso, asto, baso, avo, asco, año, ajo, aro, ayo, laso, asá, asgo, vaso, aho, aseo, ano, paso, faso, así, amo, sao, so, uso, raso, naso, asa"
480,diabete,1,diabetes,"diabetes, diabeto"
481,averiguarme,1,averiguar,"averiguar, averiguable"
482,estan,6,esta,"esta, estar, estay, estas"
483,preocuparte,2,preocupar,preocupar
484,sab,2,sal,"sal, sao, sub, san, saz, ab"
485,pir,1,por,"piar, ir, pie, pi, por, per, par, pira"
486,realizó,1,realizar,"realito, regaliz, realeza, regaliza, realizar"
487,diabtew,1,diabetes,"dialtea, diabetes, diabeto"
488,brindarte,1,brindar,brindar
489,nutricionista,10,,
490,infoo,1,indio,"infido, innoto, indio, indo, ninfo, infuso, infolio, inmoto"
491,consejonsaludable,1,,
492,ai,1,a,"ji, as, ami, an, si, a, di, ni, fi, ti, hi, xi, pi, ad, bi, ali, ah, ab, aj, ax, ay, al, cai, mi"
493,indica,1,india,"india, índica, indicar, indina"
494,haga,1,haya,"maga, saga, higa, jaga, paga, baga, hala, hada, haba, gaga, zaga, vaga, haya, daga, haca, haza"
495,equivocaste,1,,
496,tambien,3,también,también
497,aldo,1,algo,"aedo, saldo, alado, lado, albo, aludo, almo, caldo, jaldo, alto, algo, alno, baldo"
498,pascuas,1,pascua,"pascua, pascual"
499,personalizada,1,personalidad,"personalizar, personalidad"
500,bebe,1,debe,"beber, jebe, sebe, debe"
501,ultima,2,última,"última, ultimar"
502,varias,2,variar,"vargas, varia, variar, parias"
503,nececito,2,nietecito,"vejecito, nietecito"
504,encuentra,1,encuentro,encuentro
505,haremos,14,harem,"baremo, armos, harem"
506,entró,1,entre,"entre, entro"
507,felicidsdes,1,,
508,madicamentos,1,medicamento,"medicamentosa, medicamentoso, medicamento"
509,envien,1,envión,envión
510,dias,36,dios,"dúas, dis, dial, dios"
511,localizamos,1,,
512,sii,21,si,"sri, sil, sin, si, sic"
513,pedí,3,pedo,pedo
514,recibido,1,recibidor,recibidor
515,alimentaria,1,alimentario,alimentario
516,amigos,3,amigo,"amidos, amigo"
517,feos,1,feo,feo
518,meformina,2,,
519,necesarias,1,necesaria,necesaria
520,gŕacias,1,gracia,"tracias, glacis, glaciar, guacia, gracia, glacial"
521,aserlo,2,aserto,aserto
522,hileret,1,hilera,"hilete, hilero, hilera"
523,bañas,1,bañar,"banas, baña, bañar, añas"
524,lps,1,los,"lis, las, les, los"
525,consigue,3,consigo,"consigna, consigo, contiguo, contigua"
526,ap,1,a,"ab, an, as, aj, ax, a, ay, al, ad, cap, ah"
527,felis,2,feliz,"melis, filis, feliz, velis, felús"
528,realizado,3,realidad,"realizar, realidad"
529,nuca,2,nunca,"nunca, ruca, cuca, auca, nuco, noca, nuda, nula, yuca, tuca"
530,diculpe,1,disculpa,disculpa
531,covid,1,comida,"cosido, cori, coria, cocido, coido, comido, coxis, cid, cosida, cofia, cavia, david, novia, cogido, ovia, tovida, cogida, cobil, novio, tovido, movida, vid, ovil, cocida, copia, civil, movido, comida, ovio"
532,informes,1,informe,informe
533,facebook,28,,
534,mandarlos,1,,
535,disen,1,diasen,"diasen, disón"
536,medico,22,medio,"módico, médico, medio"
537,endocrinologo,1,endocrinología,endocrinología
538,lentes,3,lente,lente
539,grscias,3,gracia,"grecia, gracia, tracias"
540,déjanos,2,tétanos,tétanos
541,control,48,contra,"contal, contra, contray, contrín, centro, cotral, contero, cintrel, central"
542,tendre,1,tender,tender
543,sagre,1,sangre,"sabre, usagre, sacre, bagre, sangre, agre"
544,otorrino,1,gorrino,"gorrino, terrino, porrino"
545,ise,17,se,"ese, se"
546,hàce,1,hoce,hoce
547,anhelas,1,anhelar,anhelar
548,podrian,1,podrido,"porrina, podrido, odrina, podrir, podrida, padrina"
549,verduras,3,verdura,verdura
550,aser,11,ser,"aster, asar, asir, asear, afer, eser, aseo, ser, ayer"
551,envíen,1,envío,"envío, envión"
552,consultas,3,consulta,"consultar, consulta"
553,baje,6,bajo,"bajá, aje, buje, base, bajez, bajo, bajel, baja, paje, gaje, boje"
554,invitarte,1,invitante,invitante
555,ladoctora,1,doctora,doctora
556,pemse,1,ese,"pensel, persa, pene, pamue, peaje, eme, pesce, pebre, jeme, peste, mese, peine, peche, ese, neme, pelde, pesa, pase, peso, leme, dese, seise, perseo, cese, peje, pepe, pece"
557,ripoll,1,repollo,repollo
558,mismos,1,mismo,mismo
559,compre,1,compra,compra
560,grac,2,gran,"grao, gran, frac"
561,nadamas,1,madama,"adamar, bahamas, madama"
562,diavetologa,1,,
563,dale,6,vale,"dalle, dala, vale, cale, dele, dable"
564,jodan,1,toda,"jedar, codal, modal, jota, oda, rodar, boda, coda, rodano, judas, nodal, jordán, poda, rodana, joya, goda, jora, moda, toda, jeda, bodón, rodal, jovar, joven, rodas, codón, podón, soda, juan, podar, roda, jada, joyón, codín, josa"
565,quienes,2,quien,"quien, guienesa, guienés, quiete, quijones"
566,salió,12,salir,"salio, salia, salir"
567,xsus,2,sus,sus
568,buscaré,1,buscar,buscar
569,morenamagica,1,,
570,llévate,1,,
571,mg,3,me,"mu, me, mí, mi, my"
572,parientes,1,pariente,pariente
573,comunicaremos,1,,
574,combos,1,combo,"comboso, combés, combo, combosa"
575,escriben,1,escribán,escribán
576,vie,2,ve,"ve, vide, vil, pie, vice, vid, vis"
577,lutrisionista,1,,
578,barasi,2,barato,"parsi, barata, barato, baraje, brasa, baria, sarasa, banas, bagasa, brasil, baraca, tarasí, tarasa, baraja, baraño, barahá"
579,zguzmzm,14,,
580,agendar,1,agenda,"agenda, atendar"
581,cuánto,2,cuanto,"cuento, cuanto"
582,entiende,1,entender,"enmienda, enmiente, entender"
583,será,1,ser,"surá, sera, ser"
584,mandes,1,manes,manes
585,sufre,1,sufra,"sucre, sufra"
586,médicos,3,médico,médico
587,use,1,se,"uste, uve, ube, se, ese, uso"
588,luyohy,14,,
589,habiles,2,habilosa,"habiloso, habilosa"
590,graciss,1,gracioso,"tracias, glacis, gracioso, graciosa, gracia, gracir, gratis"
591,saludos,6,saludo,saludo
592,suele,1,suelo,"suelo, suela"
593,nosé,1,nos,"nos, noé"
594,sie,1,se,"sine, se, sil, sin, si, sien, pie, sic"
595,xtda,1,nada,"teda, dada, fada, inda, mida, vida, oída, meda, extra, rada, atea, zuda, ita, leda, tía, veda, oda, coda, bada, boda, fida, hada, tea, zeda, lada, ta, seda, heda, exida, anda, poda, goda, eta, toda, moda, ida, jeda, otra, ata, nada, duda, nuda, atada, toa, muda, onda, ruda, uta, ceda, cada, soda, luda, roda, jada, tuda, arda"
596,comparas,1,comparar,"comparar, comparsa"
597,llegan,2,llegar,"llegar, llega"
598,pasando,6,pasado,pasado
599,piden,1,pidén,"pidén, pidón"
600,ningun,2,ninguna,"ninguno, ninguna, ningún"
601,respondia,1,responder,"respondón, responsiva, espundia, respondona, responder"
602,visito,1,visto,"visivo, visto, visita, visiteo"
603,perdimos,1,perdido,"perdidoso, perdido, perdidosa, perdis"
604,cualws,1,cual,"culas, cual, calés"
605,tandiet,1,candiel,"candiel, tandeo"
606,desmayarse,1,desmayar,"desmayar, descararse"
607,ipertenza,1,,
608,picoteo,1,pisoteo,"picofeo, picotero, pisoteo, picote"
609,covi,1,cori,cori
610,rresibirlo,1,,
611,peograma,1,programa,programa
612,ven,1,en,"vena, ben, ver, ve, ren, len, en, nen, sen, gen, vez, ten, yen"
613,demen,1,semen,"semen, yemen"
614,min,4,mi,"mio, mil, fin, din, sin, nin, man, miz, mina, hin, in, mi, mis, mino"
615,proteja,1,promesa,"erotema, portera, porteña, proeza, proteína, procela, pronteza, boteja, procera, proteo, promesa, proejar, profeta, probeta, proterva, prolija, provena, protesta, proteica, proveza, profesa"
616,preciom,1,precio,precio
617,aa,1,a,"aya, as, ava, ka, ala, fa, an, a, za, ta, ya, la, na, ata, aja, ama, ea, ad, ana, aña, ah, ab, ara, aj, ax, ña, ay, ha, ca, al, asa"
618,xr,2,ir,"ir, xi"
619,esq,1,es,"eso, esa, ese, es"
620,direccion,3,dirección,dirección
621,cumplan,1,cumplir,"cumplir, cumular"
622,sientas,1,mientras,"siena, tientos, sienita, siesta, tienta, mientras, mienta, sendas, sentar, lienta"
623,gestoria,1,gestora,gestora
624,podologa,2,pomología,"posología, pomología"
625,jugos,1,jugo,"jugosa, jugoso, jugo"
626,informaron,1,informar,"informar, informador"
627,creaciones,1,,
628,confundido,1,confundir,confundir
629,informa,2,informe,"informe, informar, informal"
630,compartan,1,compartir,"comparte, comportar, compacta, compatrón, comporta, comparar, comparsa, compactar, compartir"
631,contactos,1,contacto,contacto
632,devo,1,dejo,"dedo, deo, divo, evo, dejo"
633,sensor,2,senior,"senior, tensor"
634,ase,6,se,"aje, as, se, ese, así, ave, axe, base, aseo, fase, pase, asá, asa"
635,capacitaron,1,capacitar,capacitar
636,sy,2,y,"su, se, si, ny, ay, sí, so, my, y"
637,cosas,14,cosa,"cosa, coras"
638,bue,1,que,"buz, ube, buje, bu, bué, boe, búe, buey, be, ble, buen, que"
639,escogí,1,escoger,"escopo, escote, escoger, escoba, escosa, escoda, escota, escobo, escotín, escoa, escora, escoyo"
640,dieteticas,1,dietética,dietética
641,tendrán,1,tendón,tendón
642,ayudenmen,1,,
643,porf,1,por,"por, pora, poro"
644,inútiles,1,inútil,inútil
645,ganas,4,ganar,"gansa, ganar, gana, banas, gatas"
646,cosejos,1,consejo,"consejo, cosmos, corvejos, conejo, cotejo"
647,qlfl,2,alfa,"alfa, alfil, elfo"
648,dolía,1,dulía,"folía, dulía"
649,graciad,1,gracia,"graciada, graciado, gracia"
650,ayudes,1,ayuda,"agudez, ayudar, ayuda, aludel"
651,encuestas,1,encuesta,encuesta
652,bajarlo,1,bajar,"bajero, fajardo, bajar, bajillo, bajuelo"
653,p,2,a,"a, e, pi, pu, u, y, pe, o"
654,controlés,1,,
655,superiores,1,superior,"superior, superiora"
656,envían,2,enviar,"envío, encía, enviar, envión"
657,felices,2,felice,felice
658,darle,1,dable,"dalle, dable"
659,entregaron,1,entregar,"entregar, entregado, entregador"
660,supongo,1,pongo,"supino, pongo, suponer"
661,informacion,9,información,información
662,videollamada,1,,
663,superarlo,1,superar,"superable, superar, superano"
664,realiza,1,realizar,"regaliza, realizar, realeza"
665,concejos,7,concejo,concejo
666,sábados,15,sábado,sábado
667,pdf,2,puf,"puf, paf"
668,sanos,1,sano,"sano, sanso, sanes"
669,ayudarnos,1,,
670,fisio,1,fisco,"misio, frisio, fisco"
671,respiras,1,respirar,respirar
672,pocito,3,mocito,mocito
673,varios,3,vario,vario
674,sapatillas,1,zapatilla,"zapatilla, sacasillas"
675,sabe,1,saber,"sabre, saber, labe, sable, sabea, sabeo, sebe, cabe"
676,tomas,1,tomar,"toma, tomar"
677,hacerme,15,hacer,"hacera, hacer, hacerir"
678,q,124,a,"a, e, u, y, o"
679,sistemas,3,sistema,sistema
680,fiembre,1,fiebre,"fiebre, fiambre"
681,tomando,12,tomado,"comando, tomado"
682,sirvan,1,sirena,"siriana, sirena, siriano, sira, servar, nirvana, silva, silvano, siria, sian, sirga, sierva, sirgar"
683,possecion,1,,
684,problemita,1,problema,problema
685,tunitas,1,,
686,catalogo,1,catálogo,catálogo
687,comunicase,1,comunicado,"comunicable, comunicar, comunicante, comunicada, comunicado"
688,habito,2,hábito,hábito
689,sejue,1,seje,seje
690,porciones,1,porcionera,"porcionera, porcionero"
691,costando,1,costado,costado
692,envieenme,1,,
693,libreria,2,librería,"libreril, liberia, librería"
694,llegó,1,llega,llega
695,limon,2,limón,"limen, limo, limón"
696,suspendan,1,suspender,"suspensa, suspender"
697,mandaron,1,mandarín,mandarín
698,proveen,1,proveer,proveer
699,darles,1,dares,dares
700,crece,1,crecer,"crecer, creces, cruce, trece"
701,informado,2,informador,informador
702,salieron,4,salero,"salero, salmerón, salserón, salinero, saltero, salerón, salsero, salidero"
703,alluda,1,alauda,"aluda, alauda, talluda"
704,calles,1,calle,calle
705,sirve,2,sirle,"sirle, sirte"
706,web,1,de,"res, job, per, seó, febo, tez, eh, tea, les, jebe, dea, ben, gea, et, sebe, gen, nebí, hez, ceo, en, me, debó, mea, ses, yen, le, ser, feo, fea, dey, re, te, des, pel, debe, de, red, es, bey, ea, sebo, mes, ab, ley, neo, ye, rey, ren, pez, el, del, yebo, ten, sel, ne, len, bel, be, leo, fez, her, he, ube, ge, e, nea, cebú, cea, pe, se, sen, sub, vez, sed, wat, fe, ver, rob, jea, bes, rea, ceba, pea, seo, cebo, fer, deo, ve, ce, nen, reo"
707,horas,8,hora,"foras, hora, coras"
708,deq,1,de,"dey, des, deo, del, dea, de"
709,yme,1,me,"ye, me, eme"
710,podré,3,podre,podre
711,maxsimo,1,máximo,"marismo, marxismo, masivo, mansito, masilo, laxismo, máximo"
712,dónde,13,donde,"donde, dende"
713,debo,11,debe,"dedo, dejo, sebo, cebo, deo, debó, debdo, debe, yebo, febo"
714,útiles,6,útil,"etites, útil"
715,facebok,1,acebo,"facero, faceto, acebo, facedor"
716,podran,1,podre,"podre, poda, padrón, pora, potra, porral, podón, porrón, pedral, podar, podrir, pobrar, pobra, porra"
717,cont,1,con,"con, cono, conta"
718,quieres,3,querer,"quier, querer, queresa, quermes, quiete"
719,adónde,1,adonde,adonde
720,conseguí,2,conseguir,conseguir
721,preucupacion,1,preocupación,preocupación
722,ceguimiento,1,seguimiento,seguimiento
723,medido,1,medio,"metido, mejido, pedido, mediado, medio, medidor, medida"
724,minutos,27,minuto,minuto
725,angelicarawson,1,,
726,pais,1,país,país
727,memtoca,1,metopa,metopa
728,altas,1,alta,"atlas, alias, altar, alta"
729,disponibles,16,disponible,disponible
730,s,4,a,"su, es, as, se, si, a, e, so, y, os, u, sí, o"
731,medicado,2,mediado,mediado
732,volson,1,bolso,"volsca, bolso, bolsor, bolsón, volcán, bolsín, volsco, volvo, molso, voso, colon, voleo, telson"
733,asustaron,1,asustar,asustar
734,pudieron,1,,
735,troles,1,trole,trole
736,comunicarce,1,comunicar,"comunicante, comunicable, comunicar"
737,apoyarme,1,apoyar,"apozarse, apoyar"
738,realice,2,realce,realce
739,ulti,1,multi,multi
740,llegaron,1,llegar,"llegar, llegado"
741,empieso,1,empiezo,empiezo
742,pará,1,para,"papá, paro, par, para"
743,laspiur,1,,
744,arg,1,aro,"erg, argo, ara, aro"
745,diabéticas,1,diabética,diabética
746,tmb,1,me,"tic, timo, rob, tui, temu, job, tac, tío, tau, tú, tuba, my, ambo, ten, top, tamba, tas, tía, ami, ombú, tus, tibe, toma, te, tez, eme, mu, tomé, tomo, tea, mí, ta, taz, tumo, tumbo, tumba, toba, to, ti, tos, tal, tema, tri, tu, tabí, tan, timbó, ama, ton, timba, tubo, tamo, toa, ab, tabú, tome, tabo, me, taba, amo, té, sub, mi, tao, tul, tambo"
747,retire,3,retiro,"reitre, retiro, retir"
748,pregt,1,prest,prest
749,tomaré,1,tomar,tomar
750,d,16,de,"de, a, e, dí, di, ad, u, y, do, o"
751,vieron,1,viejo,"viñero, vivero, fiero, vero, vidro, virón, tierno, virol, hiero, viejo, ivierno"
752,𝘲𝘶𝘪𝘦𝘳𝘰,1,,
753,discúlpeme,1,,
754,rason,1,raso,raso
755,coordinando,1,coordinado,coordinado
756,tardes,122,tarde,tarde
757,saben,4,saber,"sabea, saber, sabeo"
758,consiste,1,conteste,"consistir, conmista, conmisto, conteste, convite, confite, consorte"
759,glucemea,1,glucemia,glucemia
760,tramite,1,trámite,"traite, trámite"
761,actualiza,1,actualizar,actualizar
762,alas,2,las,"alias, blas, alar, palas, añas, las, atlas, ala"
763,dirigirme,1,dirigir,"dirigir, dirigible"
764,int,1,in,in
765,destista,2,dentista,dentista
766,comence,1,romance,"comento, comiente, romance, comanche"
767,pregunto,2,pregunta,"presunto, pregunta, pregunteo"
768,comprarlo,1,comprar,"comprar, comprable, comprero, comprado"
769,asercarme,1,aseriarse,aseriarse
770,pra,1,para,"para, púa, pura, pro, pora, ira, pre, pea, pía, ora, proa, poa, era, ura, prea, ara, prao, pera, par, pira"
771,disculpen,7,disculpa,"disculpa, disculpar"
772,operada,1,aperada,"aperada, perada"
773,valorhemogb,1,,
774,decime,1,decir,"décimo, décima, decimal, decimar, declive, decibel, decible, decir"
775,jodpitdl,1,,
776,analis,1,analista,"adalid, asalir, anal, aralia, andalia, ananás, analista, acalia, ayalés, anavia"
777,va,10,a,"ve, ya, uva, ava, val, ña, la, a, na, vía, ea, ha, ca, ova, za, ta, ka, fa"
778,controlo,12,contrato,"costroso, contorno, contralto, contrato, contrito, contioso, contrallo, contralor"
779,vea,3,vez,"vena, vera, ver, jea, vía, vela, rea, fea, veda, pea, tea, dea, mea, gea, ea, nea, vega, cea, ve, úvea, vez, veza, veta"
780,urgencias,2,urgencia,urgencia
781,solicitaremos,1,,
782,iso,1,eso,"liso, oso, eso, riso, so, piso, uso, biso, viso"
783,comentó,1,comento,comento
784,vean,2,vena,vena
785,contactado,1,contacto,contacto
786,lunyestetica,16,,
787,chipet,1,chiste,"cipe, hiper, chipote, chist, chipé, chipre, chiste, chile, chupe, chape, chite, chupete, chipén, chupeta, chapeta, chope, chipa, chapeo, chalet, chapel, chipá, chilpe"
788,qero,1,pero,"tero, pero, vero, cero, yero, ero, mero"
789,números,1,número,número
790,autódromo,1,aeródromo,"aeródromo, autónomo"
791,urjensia,1,urgencia,urgencia
792,hipertensoy,1,,
793,byeno,1,bueno,bueno
794,olvidando,1,olvidado,olvidado
795,queree,1,querer,querer
796,tovadia,1,tomada,"topadiza, togada, jovada, tocada, aovada, tonada, torada, topada, ovada, tomada, tovida"
797,hasiendo,1,asiento,"hacienda, asiento, masieno"
798,seas,1,esas,"esas, seis, ses"
799,estás,8,estas,"estos, estas"
800,buscarlo,1,buscar,"éuscaro, buscar, bucardo"
801,gripes,1,gripe,gripe
802,viene,8,bien,"vena, lieve, vide, sene, diente, vieja, vice, pene, nene, riente, siena, viernes, cien, sien, vicense, hiena, viejez, miente, vicente, vidente, piune, rene, sine, tizne, viejo, vitre, vienés, lene, bien, nieve, vientre, cisne, ciente, vigente, cierne, cieno, veinte, ene, viaje, vino, cine, vienesa, viento, peine"
803,simplementeyo,1,simplemente,simplemente
804,salta,1,falta,"sala, palta, calta, balta, santa, salga, saltar, malta, salea, saleta, salto, sarta, alta, salva, salma, salia, salpa, saeta, salsa, falta"
805,hla,35,la,"hola, hila, la, hala, ola, ha, ala"
806,buendia,10,buena,"bendita, duenda, blenda, cuenda, buena"
807,chat,2,chal,"chan, chal, chai, chata, chato, chad, cha"
808,mjs,2,más,"mus, más, mas, mes, mis"
809,intentaré,1,intentar,intentar
810,propiedades,5,propiedad,propiedad
811,sesiones,1,misiones,misiones
812,videla,1,vitela,vitela
813,pocos,1,poco,poco
814,cpnsigue,1,,
815,respondiendo,3,respondiente,respondiente
816,margaritas,2,margarita,margarita
817,estaba,10,estafa,"estaca, estala, esteba, estiba, estafa, estada"
818,ke,7,de,"ve, ne, re, te, ge, se, ce, le, ye, me, e, be, ka, he, fe, pe, de"
819,milei,2,mili,mili
820,gordita,1,cordita,"cordita, gorlita"
821,felicidades,1,felicidad,felicidad
822,pensé,6,pensar,"densa, pensel, penal, menés, persa, pene, penosa, penoso, jesé, pena, tenso, peno, penar, pansa, pensar, tensa, denso, censo, penol, penca, pesa, prensa, peso, pensil, penco, pienso"
823,quién,2,quien,quien
824,enviaban,1,enviada,enviada
825,digan,1,digna,digna
826,dormía,1,forma,"doma, hornía, porfía, dría, dormán, horma, corma, dezmía, dormida, dorada, norma, dolomía, doria, dogma, dorna, forma, orgía, dormir"
827,video,1,fideo,"vidro, ideo, vide, fideo"
828,lindos,2,lindo,lindo
829,hidratos,1,hidrato,hidrato
830,tomarlos,1,,
831,está,40,esto,"este, esta, esto"
832,bicio,1,bicho,"licio, picio, ricio, vicio, bicho, bocio"
833,duele,4,duelo,"duelo, dele, duela"
834,meyamo,1,memo,"retamo, mesmo, mucamo, mecano, meato, meya, medaño, recamo, memo, melampo, metano, melado, meísmo"
835,hosp,2,hospa,hospa
836,hospitales,1,hospital,"compitales, hospital, hospitalero, hospitalera"
837,realizarme,1,realizar,"realizar, realizable"
838,tomsndo,1,tomado,"comando, tomento, tomado, torondo, tondo"
839,puede,33,pues,"leude, duende, nueve, pene, quedo, lueñe, ruedo, rueda, puado, cuete, pedo, plebe, pueble, pelde, puente, sede, pues, pudú, queda, cuende, puñete, peje, pepe, pece"
840,sabi,1,sabia,"sabia, sabio"
841,controlada,15,contornada,"contrada, contornada"
842,austedes,1,,
843,próximos,1,próximo,próximo
844,convencen,1,convencer,convencer
845,vajo,1,bajo,"vafo, vaso, cajo, fajo, vano, gajo, vado, tajo, ajo, bajo, vaho, vaco, pajo, majo, vago"
846,hice,31,vice,"vice, hoce, fice"
847,jubilarme,5,jubilar,"jubilante, jubilar"
848,deve,1,debe,"dese, leve, debe, dele"
849,noches,4,noche,noche
850,fslta,1,falta,falta
851,glucometro,1,glucómetro,glucómetro
852,respeta,1,respeto,"respeto, respetar"
853,hipertensa,1,,
854,eran,2,era,"cran, era, erar, eral, gran"
855,nunka,1,nunca,nunca
856,caf,1,café,"cao, café, cay, cas, caz, can, ca, cai, paf, cal, cap, car"
857,cirugia,1,cirugía,cirugía
858,pensaba,1,pensada,pensada
859,controlandome,1,,
860,dolores,1,dolor,"dolorío, dolorosa, dolobre, dolora, doloroso, dolor"
861,preocupan,1,preocupar,preocupar
862,dni,1,ni,"ni, di, din"
863,msjs,3,más,"maes, mojo, esos, moje, mojí, mies, majo, mus, míos, mas, esas, mes, majá, más, sus, maja, ses, mis, mijo, sos"
864,jodida,1,comida,"godiza, polida, codina, molida, cosida, jonia, judiada, mordida, tovida, cogida, podrida, codada, movida, jovada, cocida, yodada, dolida, rodia, rodada, comida, medida, ardida"
865,recibielos,1,,
866,prop,1,proa,"pro, proa"
867,carnet,1,carne,carne
868,perdí,1,pero,"perol, verde, perra, perta, perro, persa, per, perdis, lerda, verdín, berbí, perada, perdón, perú, perís, lerdo, pedo, cerdo, perder, pero, perno, parda, perdiz, perca, pelde, perla, pardo, pedro, peri, peral, cerda, pera, perna, vendí, pereda"
869,contestaron,1,contestar,"contestano, contestar"
870,presento,1,presente,"presunto, presente"
871,adultos,1,adulto,adulto
872,mejes,1,mejer,mejer
873,comprarlos,2,,
874,avisen,1,avisón,avisón
875,nervios,1,nervioso,"nervio, nerviosa, nervioso"
876,temores,1,temor,"temor, termes"
877,vendiciones,2,,
878,recibidos,2,recibidor,recibidor
879,diaveticos,1,,
880,enorgullece,1,enorgullecer,enorgullecer
881,ceflodi,2,,
882,avistó,1,visto,"visto, avistar, avesta, avispón, avisar, arista, avispa, aviso, vista, avisón"
883,laza,1,taza,"baza, laxa, lazo, laña, laya, liza, lava, lama, laja, faza, liaza, daza, lasa, plaza, laca, gaza, lazar, haza, maza, lata, caza, lapa, raza, zaza, lanza, taza, lada, alza, lana, loza"
884,animarme,1,animar,"animar, aniñarse, animante"
885,fisica,2,física,"física, risica"
886,esperas,1,espera,"esperar, espera"
887,atendida,5,tendida,tendida
888,ando,8,mando,"ano, aedo, indo, mando, bando, pando, nado, anda, anuo"
889,manden,11,mandón,mandón
890,galvus,1,galés,"galés, malvís, galván"
891,iré,1,ir,"ir, ira"
892,tecnology,1,tecnología,tecnología
893,granitos,1,granito,granito
894,hustedes,1,,
895,agrdesco,1,godesco,"griesco, godesco, sardesco"
896,osea,2,ósea,"osta, osera, osca, oseta, orea, osa, ósea, osear"
