,Equivocada,Frecuencia,Sugerencia,Candidatas
1338,duran,1,dura,"dura, durar"
1339,ibuprofeno,1,,
1340,nació,1,nación,nación
1341,tenemos,3,tenedor,"tenesmo, tenedor"
1342,contraten,1,contrato,"contraste, contratar, contratela, contraer, contrato, contrata, contrarea"
1343,guia,2,guía,"guja, gubia, gura, guiar, gua, guisa, guifa, guía, guita, gula, guija, quia"
1344,controlando,2,contrabando,contrabando
1345,g,5,a,"ge, a, e, u, y, o"
1346,anoto,1,noto,"anito, onoto, noto, aneto"
1347,viy,1,vil,"vil, vid, vis"
1348,conozcas,1,,
1349,tenga,6,tenia,"tonga, tena, tenia, tenua, tenca, renga, tanga, tensa, menga"
1350,bendiga,7,bendita,"bendita, mendiga"
1351,siguieron,1,,
1352,veces,10,veras,"veer, deceso, recel, vice, ceres, creces, velis, veras, seceso, vejez, vecera, ceceo, buces, mecer, receso, venus, sece, vecero, vencer, preces, pece"
1353,day,2,dar,"doy, dey, cay, lay, ay, dar"
1354,preocuparse,2,preocupar,preocupar
1355,luny,2,luna,luna
1356,hubiese,1,nubiense,nubiense
1357,toy,1,hoy,"doy, coy, tos, boy, ton, top, hoy, toa, to"
1358,fegologo,1,,
1359,ehh,1,eh,eh
1360,alcanza,5,alcanzar,"alianza, alcana, alcanzar"
1361,hagan,3,haya,"magín, pagana, jaga, paga, habana, zagal, harén, daga, sagaz, hayal, harón, higa, lagar, habón, hala, hadar, hada, haba, gaga, havar, pagano, haya, vagón, halón, magna, hacán, hasaní, cagón, maga, magar, bagar, saga, hogar, sapan, pagar, haza, vagar, halar, dagón, baga, cagar, zaga, vaga, haca, hazana, habar, habano"
1362,lu,2,la,"su, ñu, luz, la, bu, mu, tu, cu, le, pu, lo, u, fu, hu"
1363,necesito,29,necesitar,"necesitado, necesitar"
1364,operan,1,operar,operar
1365,productos,4,producto,"producto, productor"
1366,zbwkwl,14,,
1367,había,2,habla,"habla, haba"
1368,toman,1,tomar,"tomín, toma, tomar, tomón"
1369,voi,2,voz,"voz, vos"
1370,visité,1,visita,visita
1371,intentarlo,1,intentar,"inventario, intentar"
1372,analises,1,análisis,"analista, análisis"
1373,sali,2,salir,"salia, sala, sal, salio, cali, ali, salir, pali"
1374,monton,1,montón,"montón, monto"
1375,lástimado,1,lástima,"lastimador, lástima, estimado"
1376,concentimientp,1,consentimiento,consentimiento
1377,diabetis,3,diabetes,diabetes
1378,éso,1,eso,"eso, oso, uso, so"
1379,sentirme,1,sentir,"sentir, sentible"
1380,inchan,1,ancha,"finchar, inca, cinchón, chan, anchar, inclín, linchar, pinchón, cincha, ancha, pinchar, vincha, cinchar, hincha, hinchar, pincha, ichal, incoar"
1381,asecto,1,aspecto,"asecho, aspecto, afecto, aserto"
1382,nutrisionista,2,,
1383,alimentos,2,alimento,"alimentosa, alimentoso, alimento"
1384,autodromo,1,,
1385,ches,1,che,"cheso, chesa, che, chus, chis"
1386,nicolao,1,nigola,"picola, nigola"
1387,llamo,6,llama,"álamo, llama, clamo, llano"
1388,ďecime,1,,
1389,disculpe,7,disculpa,disculpa
1390,msj,20,es,"mio, mal, as, boj, mío, oso, psi, mía, eso, musa, my, mojo, moje, misa, su, esa, mojí, mu, mur, man, si, muy, mí, mese, asá, majo, mus, mol, mil, es, mea, ese, mas, masa, osa, mar, mes, os, majá, mis, más, dij, moa, aj, así, se, miz, maja, me, asa, muz, so, uso, mor, mi, mué, mesa, mijo, sí"
1391,saludables,5,saludable,saludable
1392,saludó,2,salud,"salud, saludo"
1393,especialistas,1,especialista,especialista
1394,síntomas,3,síntoma,síntoma
1395,escribirme,1,escribir,escribir
1396,tiras,8,tras,"tira, tras, tirar"
1397,encantaría,5,encantada,"encantada, encantarar, encantar"
1398,diabétis,1,diabetes,"diabético, diabetes, diabética, dabitis"
1399,ustds,1,usted,"uste, estas, usted, estos, sutás, usado, usada"
1400,hracias,1,tracias,tracias
1401,quiso,1,queso,"quilo, quipo, quimo, quisco, guiso, quijo, quisa, quito, queso, quino, quisto"
1402,perdon,10,perdón,perdón
1403,podrán,3,podre,"podre, padrón, aldrán, porrón, podón, podrir, corán, jordán"
1404,sisi,9,sisa,sisa
1405,uiero,1,fiero,"uvero, fiero, uñero, hiero, umero"
1406,recibirlo,30,recibir,recibir
1407,sanarme,1,sangre,"sanar, manare, adarme, sanable, sangre"
1408,llendo,1,lleno,lleno
1409,necesitaba,1,necesitada,necesitada
1410,asisto,1,visto,"pasito, aposto, asuso, arista, gasista, atiesto, apasto, adicto, asto, visto, listo, agosto, sito, asirio, aoristo, anito, siseo, sismo, asiento, sistro, adusto, asalto, asiano, asunto, aviso, misto, asilo, apito, asiduo, amito, astuto, quisto, aserto, asisia, pisto, abasto, atisbo, susto, aliso, abiso, abismo, asistir, cristo, asbesto, arisco, asueto"
1411,avon,1,aron,"avo, aron, avol"
1412,cuál,9,cual,cual
1413,quisieron,4,,
1414,deseos,2,deseo,"deseoso, deseosa, deseo"
1415,chicas,1,chica,chica
1416,igshid,15,,
1417,disculpá,1,disculpa,disculpa
1418,demaciado,1,demasiado,"demacrado, demasiado"
1419,leido,2,leído,"leído, laido, leudo, lerdo, ledo"
1420,estamos,23,estados,estados
1421,protege,1,proteger,proteger
1422,vine,4,vino,"vide, sine, vice, vino, cine"
1423,lá,1,la,"la, le, ál, lo, alá"
1424,ayudarte,40,ayudante,ayudante
1425,faltaron,1,faltar,"saltarén, faltar, saltarín"
1426,octubrw,1,octubre,octubre
1427,mibextid,14,,
1428,comense,1,forense,"comento, comiente, forense, focense, remense, comensal"
1429,inchadas,1,hinchada,"finchada, hinchada"
1430,realizaron,1,realizar,realizar
1431,llenó,1,lleno,"lleno, llena"
1432,alla,1,ella,"calla, ella, alea, allí, aloa, alfa, ala, falla, alba, alga, aula, alma, malla, alúa, alta, valla, alna, galla, talla, olla, allá, dalla, alza"
1433,deseas,3,desear,desear
1434,ókey,1,rey,"ley, dey, bey, grey, óleo, buey, óseo, ósea, abey, rey, frey"
1435,lune,1,luna,"lene, luna, lunel, lunes"
1436,mande,2,mando,"lande, cande, mando, manda, mandí"
1437,ido,3,do,"fido, indo, ida, idos, ideo, nido, do"
1438,estube,1,este,"esteba, estiba, estuco, estipe, estuque, estuche, estufa, este, estable"
1439,previene,2,,
1440,all,1,al,"allí, allá, al, alá, ala, ali"
1441,neuropatía,2,neurópata,neurópata
1442,declararon,1,declarar,"declarador, declarar, declarado"
1443,fallecio,2,fallecido,fallecido
1444,covic,1,novia,"cívico, coxis, copia, coñac, novio, cobil, cívica, civil, cofia, cavia, cori, novia, cric, ovil, coria, ovia, ovio"
1445,digo,2,digno,"digno, figo, dino, dito, diego, divo, higo, dogo"
1446,pedi,2,pedir,"peri, pedir, pedo"
1447,prometo,1,pronto,"romero, profeso, provento, prometer, prieto, provecto, proteo, promesa, promotor, proto, profeta, pomelo, proferto, proyecto, probeta, prometido, procero, primero, promedio, rojeto, primevo, proemio, plomero, protesto, proceso, romeo, pronto"
1448,pastiñlas,1,pastilla,pastilla
1449,daban,3,dama,"dada, dala, habana, gabán, jabón, datar, cabal, daga, nabal, jaba, dable, naba, abab, tabón, habón, haba, dañar, gabón, daza, dama, abano, abad, yaba, sapan, raba, rabal, rabón, abaz, daca, dagón, dajao, draba, nabar, taba, habar, data, duba, tabal, habano, nabab, sabana"
1450,medirse,1,medir,"medir, musirse"
1451,vas,2,las,"vaso, ovas, vis, gas, as, ras, vasa, val, cas, vals, zas, las, mas, fas, vos, evas, tas"
1452,corren,1,correr,"correo, correa, correr, correón"
1453,serian,2,seria,"seriar, seria"
1454,necesite,1,necesitar,necesitar
1455,asé,3,así,"as, así, ahé, afé, asá, asa"
1456,colme,1,colmo,"cole, colmo, coime, colpe"
1457,catamarca,3,,
1458,muchisimo,1,,
1459,diabetologo,8,,
1460,tenía,7,tenia,"tena, tenia, tenua, tenca, teína, tensa, teníu"
1461,sigue,7,sigua,sigua
1462,mareada,2,marejada,"marejada, pareada, careada"
1463,gustaría,15,gustar,"gustar, guitarra"
1464,atienda,1,agenda,"hienda, alienada, rienda, atendar, albenda, atenta, avienta, tienta, hacienda, atuendo, atenea, facienda, emienda, agenda, aliende"
1465,whatsapp,7,,
1466,receto,1,receta,"recetor, recato, recelo, recebo, recto, recepto, receta, recejo, receso"
1467,are,4,aire,"arce, yare, ere, aje, re, arre, axe, ave, arel, arte, aro, pre, acre, aire, azre, agre, ares, ara"
1468,yendo,2,vendo,"vendo, zendo"
1469,serias,2,seria,"seriar, seria, sergas"
1470,dijeron,1,dinero,"mijero, ditero, dinero"
1471,graciaa,2,gracia,"graciada, gracia"
1472,nst,1,no,"neta, nato, neto, as, nito, psi, nos, non, asta, oso, eso, asto, esto, osta, esa, su, ut, ne, nin, si, noé, ansí, nao, ni, asá, nota, es, sant, esta, nía, ese, nasa, na, noto, et, osa, nea, os, este, ansa, lest, uste, no, se, así, ny, neo, oste, nen, sí, asa, so, uso, naso, wat, rut, post, nata"
1473,senusitis,1,sinusitis,sinusitis
1474,apartaron,1,apartado,"apartador, apartado, apartar"
1475,plaser,1,placer,placer
1476,garai,1,garay,garay
1477,meses,44,mese,mese
1478,trabajando,2,trabajado,trabajado
1479,mandé,1,mando,"mandí, mando, manda"
1480,veré,1,ver,"vero, vergé, vera, ver"
1481,dieron,12,dinero,"ditero, dinero, fiero, diedro, tierno, hiero, diego, duerno, diurno"
1482,necesarios,1,necesario,necesario
1483,creó,1,crea,crea
1484,podría,7,poesía,"pobra, poesía, porta, poderío, pedrea, porfía, potra, pora, todía, podrir, podre, poda, poetría, dría, godería, podrida, peoría, podar, porra"
1485,cabot,4,cabo,cabo
1486,abrirme,1,abrir,"arrime, abrir"
1487,conseguirla,1,conseguir,conseguir
1488,dijieron,1,,
1489,podés,1,popés,popés
1490,ho,2,no,"lo, hoy, oh, yo, he, to, o, cho, hao, rho, hi, aho, co, ro, do, hí, no, jo, fo, ño, ha, hoz, so, hu"
1491,resultados,7,resultado,resultado
1492,recibas,1,recibir,"recia, recibo, recitar, cribas, recital, recial, recibir, recabar, recebar"
1493,deabetologa,1,,
1494,tengan,5,tenia,"tentar, mengano, nengún, tentón, tángano, tonga, tangón, tena, tenia, vengar, tengue, renga, tanga, tensa, tangán, tenua, tendón, tenaz, tensón, tángana, tensar, mengana, rengar, tenca, menga, tenzón, tendal"
1495,renueva,1,renuevo,renuevo
1496,queridos,1,querido,querido
1497,podido,1,pedido,"podrido, podio, pedido, polido"
1498,podes,4,poder,poder
1499,dievetologo,1,,
1500,corresponde,4,corresponder,corresponder
1501,somos,4,somo,somo
1502,cuídarme,1,,
1503,comprarla,2,comprar,"comprar, comprable, comprada, comparsa, comprera"
1504,plaquetas,1,plaqueta,plaqueta
1505,tocaba,1,tocada,"tocaya, tocata, tocada"
1506,xg,1,xi,xi
1507,fabrika,1,fabrida,fabrida
1508,vien,1,bien,"sien, cien, bien"
1509,denucia,1,denuncia,"menucia, denuncia"
1510,k,16,a,"a, e, u, ka, y, o"
1511,aprobó,1,aprobar,"aproar, proba, aprobar, probo, arrobo, arroba"
1512,nejamkin,1,,
1513,tenido,1,tejido,"tendido, teñido, tejido"
1514,vuelvo,3,vuelto,"vuelo, vuelto, vuelco"
1515,consejos,84,consejo,consejo
1516,marini,1,marina,"marino, marina"
1517,geacias,4,gracia,"reacia, tracias, glacis, glaciar, guacia, gracia, glacial"
1518,x,93,a,"ox, ax, xi, a, e, u, y, o"
1519,repitiendo,1,repitiente,repitiente
1520,villagirre,1,,
1521,rawson,2,raso,raso
1522,impertensa,1,,
1523,nro,3,no,"gro, pro, ero, no, aro, uro, ro, nao, oro, neo"
1524,ell,1,el,"ella, el, ello, elle, ele"
1525,republica,2,república,república
1526,_5,1,de,"as, ir, lo, su, oc, eh, yo, za, ni, o, xi, et, u, uf, do, jo, en, me, té, so, sí, ji, le, an, ox, te, re, si, mu, a, oh, di, ál, ta, de, es, tu, ea, ro, ah, ab, no, aj, ña, ha, ye, y, fu, el, tú, ut, ne, bu, be, he, to, fi, la, ge, hi, pi, co, e, ad, bi, pe, hí, se, fo, ca, pu, fe, hu, él, my, ka, fa, in, mí, dí, ti, ya, na, un, os, ve, ñu, ax, cu, ny, ay, ño, ce, al, mi"
1527,adecuados,1,adecuado,adecuado
1528,deje,2,dije,"seje, peje, dese, dejo, eje, deja, ceje, feje, dije, debe, dele"
1529,antecede,1,anteceder,anteceder
1530,siquiero,1,siquiera,"siquiera, siquier"
1531,recubirlos,1,,
1532,comencé,1,comento,comento
1533,cansé,1,cansa,"cané, cansí, cansa, canso"
1534,salitas,1,salida,"sólita, saliva, salina, salia, balitar, saleta, sagital, balita, alias, salida, salitral, salivar, salitre, salival, sagita, saltar"
1535,aplicaré,1,aplicar,aplicar
1536,dijo,7,hijo,"dujo, dij, fijo, dino, rijo, hijo, dito, divo, dije, mijo, dejo, lijo"
1537,desean,2,desear,desear
1538,numero,31,número,"fumero, humero, número, umero"
1539,contestando,2,contestano,contestano
1540,resibir,1,recibir,"residir, recibir"
1541,medicion,1,medición,medición
1542,tipos,2,tipo,"tipo, tipoy, nipos"
1543,capacitada,1,capacidad,"incapacitada, capachada, capacidad, capacitar"
1544,joder,1,poder,poder
1545,diabetologa,2,,
1546,nwumonologo,1,,
1547,presupuestos,4,presupuesto,presupuesto
1548,calorías,1,caloría,caloría
1549,sube,1,nube,"ube, sebe, sub, nube, subeo, sute"
1550,sigo,3,sino,"sago, signo, figo, sirgo, sino, siglo, silo, sito, higo, siro"
1551,gaseosas,2,gaseosa,gaseosa
1552,encontre,1,encontrar,"encontrar, encante, encontrón, escontra, enconar"
1553,dietas,3,dieta,"dietar, dieta"
1554,digamos,1,dinamo,"dinamo, digamma"
1555,mueres,1,muerto,"querer, muera, muergo, jueves, muerto, muer, merey, mugre, ceres, queresa, muerta, muerte, fueras, quermes, muerdo, mere, muermo"
1556,ejercicios,2,ejercicio,ejercicio
1557,hizo,2,hijo,"hito, hipo, rizo, lizo, hijo, higo, hilo, tizo, mizo"
1558,sintoma,1,síntoma,síntoma
1559,mejores,1,mejor,"mejorar, mejoría, mejora, mejor"
1560,padesemos,1,,
1561,analices,5,,
1562,barassi,4,,
1563,nwjioq,14,,
1564,agendado,1,agenda,"afondado, atentado, acendrado, abundado, arrendado, avenado, hacendado, argentado, aventado, abondado, alindado, agestado, agnado, andado, asentado, aduendado, agenda, alentado"
1565,consiganme,1,,
1566,glicosilada,7,,
1567,coincido,1,conocido,"coincidir, conocido, conciso, cencido, condido, concino, cocido"
1568,puedan,1,queda,"quedar, pedal, piedad, queda, rueda"
1569,fisicas,2,fiscal,"física, risica, fiscal"
1570,m,12,a,"my, mu, a, e, me, mí, mi, u, y, o"
1571,padecemos,1,,
1572,bienvenidos,1,bienvenido,bienvenido
1573,chequeos,1,cheque,"cheque, chiqueo"
1574,descuentos,1,descuento,descuento
1575,datos,1,dato,"dato, catos"
1576,timarmela,1,,
1577,litros,1,litro,litro
1578,jirnacia,1,,
1579,analicis,4,análisis,análisis
1580,digame,1,dagame,dagame
1581,ste,1,se,"uste, te, se, oste, este, sote, sute, sete"
1582,llame,3,llama,"llave, llama"
1583,grasiaz,2,gracia,"graseza, grasa, gracia"
1584,informanda,1,informante,"normanda, informante"
1585,tendré,4,tener,"tendera, tendero, cendra, tener, tenor, tendel, tendón, tundra, tender, tendal"
1586,_bienvenidx,1,bienvenida,"bienvenida, bienvenido"
1587,informada,1,informar,"indomada, informal, informidad, reformada, informar, informador, informadora"
1588,fresha,1,fresca,"fresa, fresca"
1589,medicos,1,medio,"medicar, médico, medio, medidor, medinés, pedicoj, módico"
1590,rafael,1,rafal,rafal
1591,cuidarte,1,cuidante,cuidante
1592,reatiba,1,reatina,reatina
1593,changos,4,chingo,"chanco, chongo, changle, chanto, changüí, chano, changa, clangor, chingo"
1594,made,3,madre,"mate, madre, zade, jade, vade"
1595,dinamika,2,dinamita,"dinamia, dinamita"
1596,qy,1,y,"my, ny, y, ay"
1597,secarme,1,secar,"rearme, carme, secaral, secante, escarpe, desarme, secar"
1598,creia,1,crea,"crema, cresa, creta, crea"
1599,comunicare,1,comunicar,comunicar
1600,l,4,a,"él, la, el, a, le, e, al, ál, lo, u, y, o"
1601,mandan,14,manda,"mandón, mandar, manda"
1602,tomáatse,1,tomate,tomate
1603,llegue,1,llegar,"llegar, alegre, lingue, legua, llega, tegue, pliegue"
1604,solucio,1,solacio,solacio
1605,resfriada,1,resfriado,resfriado
1606,resetas,1,estas,"roseta, reseña, peseta, resta, restar, estas, reseca, reseñar, meseta, respetar, recetar, resegar, receta, feseta, resecar"
1607,pertenezco,1,,
1608,chau,1,chal,"chan, chal, chauz, chai, chad, cha"
1609,noo,3,no,"no, nodo, nono, nos, noto, non, noé, nomo, nao, neo"
1610,ahy,2,ahí,"ahí, aho, ahé, ay, ah"
1611,necesitó,1,necesitar,necesitar
1612,hinsulina,1,insulina,insulina
1613,equivoque,2,,
1614,pasan,1,pasa,"pasar, pasa"
1615,señores,1,señor,"señoril, señora, señorear, señorío, señoría, señor, señorón"
1616,viendo,2,viento,"viento, vendo"
1617,degradan,1,degradar,degradar
1618,yoga,1,soga,"boga, yola, yogar, soga, toga, doga"
1619,serían,1,seria,"serena, serbal, serrar, serano, serrana, serrano, serón, osería, sermón, serrón, serpa, serna, sera, serafín, sergas, seriar, serba, servar, serrín, ería, seria, serta"
1620,prob,1,proa,"pro, rob, proa, proba, probo"
1621,enferme,1,enfermo,"enfermo, enferma"
1622,aseptaba,1,asentada,asentada
1623,envíe,1,envío,envío
1624,podrían,5,,
1625,afiliada,2,aliada,"afuciada, efigiada, afelpada, afiliar, apilada, afollada, afincada, atildada, afirmada, filada, afijada, ciliada, anillada, ahilada, asilada, aliada"
1626,mañanas,1,mañana,mañana
1627,baj,1,bajo,"bajá, aj, boj, bao, bar, bajo, baja, bah"
1628,jodasas,1,,
1629,holaa,8,hola,hola
1630,informarme,6,informar,"informante, informar"
1631,van,10,tan,"pan, kan, an, vano, val, man, tan, can, vana, san"
1632,conseguido,1,conseguir,"consentido, conseguir"
1633,realizandome,1,,
1634,estabilizada,1,estabilidad,"estabilizar, estabilizadora, estabilizador, estabilidad"
1635,lastimado,2,lastimador,lastimador
1636,movilidades,1,movilidad,movilidad
1637,medimos,1,medio,"medidor, medinés, medio"
1638,diabetico,4,diabético,diabético
1639,lic,1,tic,"lis, sic, tic, lid"
1640,pq,1,pe,"pu, pe, pi"
1641,ape,1,ave,"aje, apeo, ave, axe, zape, rape, apea, pe"
1642,imagino,1,imagen,"imaginar, magno, malino, marino, imagen, imaginero, matino"
1643,ciempre,2,siempre,siempre
1644,fechas,1,fecha,"fechar, fecha"
1645,manantiales,1,manantial,manantial
1646,atenderá,1,atender,atender
1647,quiroga,3,guiropa,"guiropa, quilosa, quiragra"
1648,diabetolago,1,,
1649,dr,10,de,"ir, dí, di, dar, do, de"
1650,resecos,1,reseco,reseco
1651,soy,58,son,"sol, doy, coy, boy, son, so, hoy, sor, sos"
1652,dbi,1,di,"bi, di"
1653,biscocho,1,bizcocho,bizcocho
1654,trae,1,tras,"trabe, trape, traje, tras, traer, trace"
1655,afiliados,1,afilador,afilador
1656,comiendo,2,comienzo,"comienda, comienzo"
1657,pediré,1,pedir,pedir
1658,accucek,1,,
1659,tiene,21,tizne,tizne
1660,uñas,1,uña,"uña, añas"
1661,nesesito,1,,
1662,reziviflo,1,,
1663,atenderán,1,atender,atender
1664,atendio,2,atender,"tendido, avenido, ateneo, atento, atendar, asensio, asedio, asencio, atuendo, tedio, atender"
1665,conocimientos,1,conocimiento,conocimiento
1666,profecional,2,profesional,profesional
1667,organizo,1,organizar,"granizo, organillo, orgánico, organizar, organismo, organero, organizado"
1668,aún,3,aun,"aun, an, atún"
1669,stoy,1,esto,"sol, estos, sayo, asto, hoy, top, seor, sato, esto, sito, suyo, coy, sor, to, doy, tos, estol, soto, seo, son, ton, sota, estay, sote, seto, toa, otor, atol, boy, sotol, sao, so, oto, sos"
1670,porq,4,por,"por, pora, poro"
1671,ilumine,1,iluminar,iluminar
1672,audio,2,audito,"ludio, gaudio, pudio, audito"
1673,han,2,ha,"pan, kan, an, chan, hao, man, tan, haz, can, ha, hin, hae, san"
1674,coas,1,cosa,"cas, cras, coras, caos, cosa, coa"
1675,asermelo,1,aceruelo,aceruelo
1676,todos,52,todo,todo
1677,dedos,1,dedo,dedo
1678,asiendo,4,asiento,asiento
1679,romperla,1,romper,"romería, ropería, romera, romeral, romper, trompera, ropera, rompeolas"
1680,suba,1,suya,"suma, sula, sura, juba, soba, cuba, tuba, suya, sub, duba, buba"
1681,mii,1,mi,"mio, mil, miz, mili, mi, mis"
1682,selin,1,sin,"seltz, seis, sesión, serio, telina, feliz, melino, velis, helio, felón, serie, selva, sel, sello, felino, sin, celán, sien, serón, delio, felina, semen, segün, clin, salina, jeliz, celia, senil, secón, secén, melión, telón, solén, solio, salón, melón, pelón, semis, salir, salino, belio, melis, salia, sesén, belén, sepia, salio, velón, seria, delia, sen, salín, melina, semi"
1683,subian,1,subir,"gubia, sucia, tubiano, subir, subida, zubia, subido, pubiano, rubial, supina, sian, sabia, asubiar, sobina, sabina, lubina, rubia, tubiana, pubiana, rubión"
1684,poniendo,1,poniente,poniente
1685,diabetilogo,2,,
1686,sentro,1,dentro,"dentro, centro, entro"
1687,atienden,5,atender,"atender, aliende"
1688,huarpe,1,carpe,"guarte, urape, turpe, herpe, harre, guarne, harpa, hupe, carpe"
1689,ejercios,1,ejercido,"ejercido, ejercida"
1690,muestras,1,nuestras,"vuestras, nuestras, muestra"
1691,algunos,3,alguno,alguno
1692,puedo,74,quedo,"quedo, pedo, puado, ruedo"
1693,muchas,435,mucha,mucha
1694,comunico,3,comunicado,"comunero, nomónico, románico, comunismo, dominico, comunicar, comunión, comédico, coránico, cumínico, domínico, comunicado"
1695,gs,1,es,"gas, es, as, ge, gis, os"
1696,revisaron,2,revisar,revisar
1697,escribír,1,escribir,escribir
1698,hipotiroidismo,1,,
1699,somarit,1,sumario,"somalia, samarita, sumaria, sumario, somarro"
1700,vi,2,mi,"ji, ve, fi, ti, vil, si, xi, hi, pi, di, mi, ni, bi, vid, vis"
1701,hacerle,1,hacer,"hacera, hacer, hacerir"
1702,azucaradas,1,azucarada,azucarada
1703,aver,1,ver,"ver, ave, afer, ayer"
1704,queero,1,quesero,"quetro, quesero"
1705,kilos,7,kilo,"vilos, kilo"
1706,pido,6,piso,"pifo, pipo, podo, pito, nido, fido, pino, piño, piso, pilo, pedo, pico"
1707,lastiman,1,lastimar,lastimar
1708,qque,1,que,"oque, que"
1709,hacernos,1,,
1710,cul,1,cual,"cuz, cu, col, culi, cual, ful, culo, tul, cal, cuy"
1711,agradece,1,agradecer,agradecer
1712,instagram,30,instaurar,instaurar
1713,michas,1,micha,micha
1714,revisan,1,revisar,revisar
1715,expliquenme,1,,
1716,actividades,5,actividad,actividad
1717,marcado,1,mercado,"marcador, mercado"
1718,derivó,1,deriva,"derivo, deriva"
1719,da,5,de,"día, ka, dar, fa, oda, a, dí, za, di, ta, dea, de, ya, la, na, ida, ea, ad, do, ña, ha, ca, dúa"
1720,isieron,1,isidro,"ivierno, isidro"
1721,grasias,64,gratis,"tracias, grasosa, frasis, gracia, grasa, gratis"
1722,llevaré,1,llevar,llevar
1723,clinico,2,clínico,clínico
1724,perfumeria,2,perfumería,"perfumera, perfumería"
1725,podologo,2,,
1726,turnos,20,turno,turno
1727,kg,2,ka,ka
1728,curarme,1,curare,curare
1729,estaría,2,estadía,"estría, estadía, estarna"
1730,analisis,10,análisis,análisis
1731,estaban,1,estabón,estabón
1732,enfermedades,1,enfermedad,enfermedad
1733,abuenicimo,1,,
1734,pies,23,pues,"mies, piel, pues, pie"
1735,visitando,1,visitante,"visitante, vigitano, visitador, vitando"
1736,masajes,1,masaje,masaje
1737,grcias,1,gracia,"gris, tracias, grecia, grisa, gracia, grial"
1738,sms,1,sus,"sus, sos, ses"
1739,flores,2,floreo,floreo
1740,cuentas,1,cuenta,"cuestas, cuenta"
1741,hayas,2,haya,"hayal, haya"
1742,tes,3,es,"res, tus, es, tos, te, tez, tres, bes, des, tesa, tea, teso, mes, ses, ten, les, tas"
1743,tienes,6,tener,"tientos, tizne, viernes, tenis, tioneo, tienta, tiento, tener, nieves, vienés, triones, vienesa"
1744,nesecito,9,nietecito,"vejecito, nietecito, osecito, nescio"
1745,resivirlos,2,,
1746,realizo,2,realito,realito
1747,presio,1,precio,"premio, prasio, precio, previo, presto, predio, preso"
1748,kiere,1,libre,"lieve, litre, ere, hiebre, ácere, cierre, ñire, fiera, hiera, kirie, piure, liebre, hierre, libre, hiero, vitre, pigre, tigre, fiebre, nieve, mere, frere, fiero, cierne, miera, aire, sierpe"
1749,bici,2,bien,"tic, kili, pica, cica, vice, buco, fiyi, pichi, bibir, bicos, íbice, bis, boca, bita, bizco, vico, bidé, biza, sic, óbice, mica, rica, fice, bina, biga, licio, baca, bical, bizca, mili, bicho, bien, bi, vicia, bocio, rico, mico, bilis, beca, licia, picio, bija, ricio, vicio, biso, cibi, bicha, pico"
1750,informen,2,informe,informe
1751,miren,1,mirón,mirón
1752,encantaria,2,encantada,"encantorio, encantada, encantarar, encantar"
1753,mui,1,mi,"mus, tui, muir, mu, mur, muy, muz, mué, mi, qui"
1754,motivacion,1,motivación,motivación
1755,noe,1,no,"ne, no, nos, nome, non, noé, boe, neo"
1756,saver,1,saber,saber
1757,valores,6,valor,"valoría, valorear, valorar, aloes, acores, valor"
1758,c,7,a,"oc, cu, a, ce, e, co, ca, u, y, o"
1759,sufrimos,1,sufrido,"sufrido, sufridor"
1760,invitamos,14,invitado,"invitador, invitado"
1761,qlos,1,los,los
1762,ssi,1,si,"psi, si, sri"
1763,dl,1,de,"él, el, dí, ál, di, del, al, dél, do, de"
1764,chequeo,1,cheque,"cheque, chiqueo"
1765,responderé,5,responder,responder
1766,niveles,2,nivel,"nivelar, nivel, nieves, cibeles"
1767,peke,1,pene,"peje, pene, pepe, pece"
